Node ID,URLv4:,eth,id,ASN_number,organization,country,city,ip,secp256k1,tcp,udp,les,udp6,cap,Name,Caps
 1e1ea8b3d566d2761116249948551cae0e4b169d04ba8323807f74c05bfd5fbc,enode://8499da03c47d637b20eee24eec3c356c9a2e6148d6fe25ca195c7949ab8ec2c03e3556126b0d7ed644675e78c4318b08691b7b57de10e5f0d40d05b09238fa0a@52.187.207.27:30303,c7c684e029e99180,v4,8075,MICROSOFT-CORP-MSN-AS-BLOCK,United States,,52.187.207.27,a1028499da03c47d637b20eee24eec3c356c9a2e6148d6fe25ca195c7949ab8ec2c0,30303,30303,c0,,,,
 208fcb51e67d5f5455731c361618e6b4d52d5b5aa2ff6f677be49a9b6b976d50,enode://e1155c7f426176250de94eae125770645639f9dd215d3aa7808c66da163f1d73cc0a5a802c60e7a478cac6cf40a5b0e3988fe7142d005416ca1caa939642eb20@35.222.188.205:30303,c7c684e029e99180,v4,15169,GOOGLE,United States,Council Bluffs,35.222.188.205,a102e1155c7f426176250de94eae125770645639f9dd215d3aa7808c66da163f1d73,30303,30303,,,,,
 20da7edc6fd807b4c1f8a0a19ee8aeb033b2b74159b61f3b2f3b111650ed734c,enode://3705fcc6241afa9bd4eab1cf30d0c11a6a5cbda811dbdd90f2140eec7da52b04e534bb48a514cef40936193a3151645e66eaf2b11efad7eca6937d3b3fe95d29@46.4.74.22:30303,c7c684e029e99180,v4,24940,Hetzner Online GmbH,Germany,,46.4.74.22,a1033705fcc6241afa9bd4eab1cf30d0c11a6a5cbda811dbdd90f2140eec7da52b04,30303,30303,,,,,
 212f68014fd753ae45e119890097902ba8619a57d7a27b26b3bfd9e284e2fdcb,enode://f5a094e7a1f1bf6645ecd4426f6bf3a63495b7664f6bab8f10db4998691c0a0ad6fb324dea7ac5e50f74cedad956560f50d9bb70a0831d65f96a7b198504f3e4@3.15.200.203:30303,c7c684e029e99180,v4,16509,AMAZON-02,United States,Columbus,3.15.200.203,a102f5a094e7a1f1bf6645ecd4426f6bf3a63495b7664f6bab8f10db4998691c0a0a,30303,30303,,,,,
 229c8baf18332827a705f838e3f9febb2854b652e24ffcbaf3374a1077755e48,enode://01210d933da7b34e71db8b62d8d1e265354306c61ce6c68778c743fe03676a031e3b9ac9bb4421c2cf9410ff9e7f0bf90f6019ce0035181a644d4fa7ec86e062@51.75.131.18:30303,c7c684c25efa5c80,v4,16276,OVH SAS,France,,51.75.131.18,a10201210d933da7b34e71db8b62d8d1e265354306c61ce6c68778c743fe03676a03,30303,30303,,,,,
 22f2e4a890e5ab4bd7f61291ab00098357c722355303dfa38943c68a09400159,enode://435e3a2e95a5944ec36206b1d70621d9ecd1a01cfe6399867b390c1a0fc9de00e770af12410c65ebcc0fa9fb969cd9dc550149f0f646d3f6917521c6cc7f653b@167.86.81.73:30303,c7c684e029e99180,v4,51167,Contabo GmbH,Germany,Nuremberg,167.86.81.73,a103435e3a2e95a5944ec36206b1d70621d9ecd1a01cfe6399867b390c1a0fc9de00,30303,30303,,,,,
 241b0b8c449c3c266141fe0997ff2c582e4bc4922e55a5506c62817e4009f23c,enode://298214efaadf6a769aec8669107f24793e145a32d575617bfd84c349f6e8b809a370c666062a4d383cc1e242669ff89a7ea5b73167b1b86e4c02a74831882405@195.201.144.176:30307,c7c68455c25b7a80,v4,24940,Hetzner Online GmbH,Germany,,195.201.144.176,a103298214efaadf6a769aec8669107f24793e145a32d575617bfd84c349f6e8b809,30307,30307,,,,,
 244d85e4fa1006ef51f8a10d8c6b799afadd2b4dc473cc24e5219375059677f7,enode://ed76b1d9a531536b074ecb9444a0966662633327f6b9274391da4130e4b4fc6370b5361e7d233b2e489913d02edce7aeba98b608af115d826b13011495327821@82.145.220.247:30306,c7c6846727ef9080,v4,39832,Opera Software AS,Germany,,82.145.220.247,a103ed76b1d9a531536b074ecb9444a0966662633327f6b9274391da4130e4b4fc63,30306,30306,,,,,
 2480cca4c5be076742018eeff562a9a071ed2d0609cd5b0dbb660f663553eec6,enode://071acc9cef9856f949c3f3b775dd550a68c68ab3b67c725d7803fce719c516cd1172e6eaf09aab951251d0817eaa071d52c84d47b41f626469cd66e199e839ea@84.17.54.74:30303,cac9849007bfcc83b28720,v4,60068,Datacamp Limited,Poland,Warsaw,84.17.54.74,a102071acc9cef9856f949c3f3b775dd550a68c68ab3b67c725d7803fce719c516cd,30303,30303,,,,,
 248ca8ed8b8176a915d2f6389324226f95b7f01bc92fdacbfd91584895a448b3,enode://1fc9d4edf7d3a92b8d446fc0a51b73be55c4d05b5e1e35a47ad517bd47b69dc15541b00f582fe1d95226e7836c65ad3a67326487f10e036cafd981a187ec0fac@62.171.181.141:30303,c7c684e029e99180,v4,51167,Contabo GmbH,Germany,Nuremberg,62.171.181.141,a1021fc9d4edf7d3a92b8d446fc0a51b73be55c4d05b5e1e35a47ad517bd47b69dc1,30303,30303,,,,,
 24a805803bdb1c4bf03bd21c77309ead06359010c3593000004b09b6e667f71d,enode://3a3b991e5b2c4dcac519768d0e92cdbadf1c259786e44f611dde9dcda788c00df9c7cb13baf538df428066c531dd9406f8c0e98626079ec785d45421fee9f24d@82.221.128.76:30303,c7c684e029e99180,v4,50613,Advania Island ehf,Iceland,,82.221.128.76,a1033a3b991e5b2c4dcac519768d0e92cdbadf1c259786e44f611dde9dcda788c00d,30303,30303,,,,,
 24af6fff0f8747f8f79d243eb7cf38e07a08d3e28b477c7798975a564c992b80,enode://9ebc9e91f65d43240d875a2e94ffb0848f4cee6325b9062b745abd0d68f2beab08dc23f74807b1f0e5cb1f6c8f53efcd1625f548ca26d4b164fe38c74b0542fd@31.42.184.10:30304,c7c684e029e99180,v4,30860,Virtual Systems LLC,Ukraine,,31.42.184.10,a1039ebc9e91f65d43240d875a2e94ffb0848f4cee6325b9062b745abd0d68f2beab,30304,30304,,,,,
 255068f88dabf8db732fe2548f7965df3c6b112656cca897ebeaa0cf0cf95874,enode://63f3b929acd34ab6024c633409e993e52bbf565552cd0f294723201a6e7899dc6136b67b4e201d2e6bfaf8c1db2fc1f6aad8b62943ba7fa05e7443fe86bb9741@62.171.161.248:30303,c7c684e029e99180,v4,51167,Contabo GmbH,Germany,Nuremberg,62.171.161.248,a10363f3b929acd34ab6024c633409e993e52bbf565552cd0f294723201a6e7899dc,30303,30303,,,,,
 2560901d9a9d1ed3f15b077be605419da496b62a8fd43a9fed0f3ec7c5d178d2,enode://344dae667230baefdf05cbda81cec749425610c8f3683110c71621f7ef776829e0eee66ad266412e197cd29016fd4085f5bcf31d119f24507cf2418627832afc@80.209.234.143:30303,c7c684c25efa5c80,v4,62282,UAB Rakrejus,Republic of Lithuania,,80.209.234.143,a102344dae667230baefdf05cbda81cec749425610c8f3683110c71621f7ef776829,30303,30303,,,,,
 256f53b78f79dada77c755d83e585da8e8cf5b9b9d66a40d3be506cc5e9aeb11,enode://cc57635d67486bac04e7c5b85e294fed60d600fecc007014af07a3d571f99d63d1dcc99c52c3e3d71f6cb4fd8b219f0eecf31fcf853ef0459ca45832e817f4c5@34.229.27.111:20638,cac984bce50a9f8302cf2e,v4,14618,AMAZON-AES,United States,,34.229.27.111,a103cc57635d67486bac04e7c5b85e294fed60d600fecc007014af07a3d571f99d63,20638,20638,,,,,
 25aa52dcb0d4fd9b85650de7824925464cd2986d16a29afce24ac361ae9b3a65,enode://7e7bf99fc21d63a2178644d3beac4245f7b357360d7d6b3787000756a92fb30c3b57acedf0d07efc16bc65a21213bdc6015254ea233602a736eea8db59473e0b@51.159.1.144:30303,c7c684e029e99180,v4,12876,Online S.a.s.,France,Paris,51.159.1.144,a1037e7bf99fc21d63a2178644d3beac4245f7b357360d7d6b3787000756a92fb30c,30303,30303,,,,,
 261b569e2d01f2217968108fd8e7524509bc517ac9048c97f34a81f940c41fd4,enode://46c350837823f8dc06296f182f0d09505f3e3b54648e996a99bc0c23ef0dc2aeb28f656ad70f1b722b6f8f844bc4d53f1ee565cf928232b09f35a768b4413b77@34.74.53.215:30303,c7c6846727ef9080,v4,15169,GOOGLE,United States,North Charleston,34.74.53.215,a10346c350837823f8dc06296f182f0d09505f3e3b54648e996a99bc0c23ef0dc2ae,30303,30303,,,,,
 261c60a2994c11da04c02be5d546f762cdf3bd9baeab8e93e42dec745ffb9651,enode://6642364b2cb448b1c3986c3008a2bc2e6cf36e698b4560db6023333f57f6f76149ac1c51c4a1d4d9184ec50358f3bc808e53eac0006b66a17184429dc60f2f04@5.189.144.159:30303,c7c684c25efa5c80,v4,51167,Contabo GmbH,Germany,Nuremberg,5.189.144.159,a1026642364b2cb448b1c3986c3008a2bc2e6cf36e698b4560db6023333f57f6f761,30303,30303,,,,,
 262b3f1a573f898fff638e25ba811bbb642555fca19bdf63fd7d6cdf7108bd5c,enode://56b6e6ff753c9357338fd9555f483aa9181953410e1f5208f78cf26834cd1cff2fe2031d416c8c2f71ef2dcdcfccfe3dc0943702d687cd99b0b20e4a345af92a@54.37.233.77:50505,c7c684e615830180,v4,16276,OVH SAS,France,,54.37.233.77,a10256b6e6ff753c9357338fd9555f483aa9181953410e1f5208f78cf26834cd1cff,50505,50505,,,,,
 265b731e78bc4db1d1d08c9f2661934eb4c051383040eef65092b1dd13970856,enode://a0552eb9cd7fa38c777d2333cc7e32cb3a8a4d7beb3699bcbd963f9ce320ee029ab8099af6b748441a9dfbceef6a3787c8bfd924138e6dd6085faee60963abfa@95.179.194.145:30303,c7c68457a4fd6f80,v4,20473,AS-CHOOPA,United Kingdom,London,95.179.194.145,a102a0552eb9cd7fa38c777d2333cc7e32cb3a8a4d7beb3699bcbd963f9ce320ee02,30303,30303,,,,,
 266f81e52c346db8109b9fba371ab2330e7c9c659440c26f04c77e9cc1e5cc88,enode://e93bb80fef1217d1c6c920c339ba36997e881ac53dad2eee0f1faf762f9fe5fc305a7051a0a4afb95a436aa8b837e12b804ad9d6dde8cc41fe3e750b8d6be8e1@51.195.63.175:30305,cfce84a4ecb4b6887fffffffffffffff,v4,16276,OVH SAS,United Kingdom,London,51.195.63.175,a103e93bb80fef1217d1c6c920c339ba36997e881ac53dad2eee0f1faf762f9fe5fc,30305,30305,,,,,
 269c07079996c56aa3a7e6abaefb13f6e67d584ae36e852294736d50d1d072e0,enode://9b30304526b9fe1f2f83ed46d9c5f7bf1d274422e652ae74115e4028bfa793d64fb9d8846fb5e893bdd9467e5a4f1dea14c1d860b1b92d189aff71d4aaa082b5@145.255.26.169:30303,c7c6846727ef9080,v4,24955,OJSC Ufanet,Russia,Ufa,145.255.26.169,a1039b30304526b9fe1f2f83ed46d9c5f7bf1d274422e652ae74115e4028bfa793d6,30303,30303,,,,,
 26fcd2bee8b3dec12bf4941a362f0b5420a06b9d3755a4d642f8d6077204dd3e,enode://fb5e8fe05eb90a2c168c433649156ebf0ec72a552382dc1deb62564fd0d4474bd80f133e27dfcd2782207edb6da23361ec4edc9bb8fad14333b8ba03a8e4c8d0@94.130.9.243:30303,c7c684e029e99180,v4,24940,Hetzner Online GmbH,Germany,,94.130.9.243,a102fb5e8fe05eb90a2c168c433649156ebf0ec72a552382dc1deb62564fd0d4474b,30303,30303,,,,,
 271a5e36491978bb5ee2dbe0af89135b1d54304cc730051b48bef0a1e6d1daf3,enode://bccbff34793d45f225c05bbe590d50af75c4e4b20858592b246e254adf20c0a98b60d74281dc4513fac2696925a5d420cf6c93aa250b86924516a0d57873aeb2@178.235.198.132:30303,c7c684e029e99180,v4,29314,Vectra S.A.,Poland,Warsaw,178.235.198.132,a102bccbff34793d45f225c05bbe590d50af75c4e4b20858592b246e254adf20c0a9,30303,30303,,,,,
 271ef6688df18de9231d00fe99a2eafc617bfc2fddb57c1740057d5161b4fa2b,enode://88561c1ab5f107c356c77a6e4a6c76c04fdb9636da997b8857ff80a94f823e95be2b3f942389d948fb94818ad107da8d2062327d2e86b7d0c1a0c78a8e29e0ad@211.75.159.144:30311,c7c68465db3b6f80,v4,3462,Data Communication Business Group,Taiwan,New Taipei,211.75.159.144,a10388561c1ab5f107c356c77a6e4a6c76c04fdb9636da997b8857ff80a94f823e95,30311,30311,,,,,
 271f24c936d45f01c550a67516627214dfc3a0955052d78aaab4817761116bfc,enode://49718597407b3665eb5ecf939add25829588eba64413cd08f997ac7ee391b84df064abd1c79e7d308b1de5c278db64e74b2d71b9feebf375ff50ccff53818bef@95.216.96.25:38336,c7c684e029e99180,v4,24940,Hetzner Online GmbH,Finland,Helsinki,95.216.96.25,a10349718597407b3665eb5ecf939add25829588eba64413cd08f997ac7ee391b84d,38336,38336,,,,,
 272ace5f1f04bc2ea5a7f6361694ef60284dd8e369e5b47dc630ded2cb814b10,enode://caf58b569b1a94635d257e874ff37e59a891d9fb75cf4fedd350ade6d08acc229d6877133349772367dea457092a484b3b1b97b97120d0dc7c97c1a7bb166438@40.118.126.71:30503,c7c6842b24bc6680,v4,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Netherlands,Amsterdam,40.118.126.71,a102caf58b569b1a94635d257e874ff37e59a891d9fb75cf4fedd350ade6d08acc22,30503,30503,c0,,,,
 272bd1ab6eafc37f48e0ea4be36c753e2162c90021e9f438c0cb5a64a9d14278,enode://014cb5e68638e21a584982215d01a869c80644d20696967ebef8d7ccae62e3c55d0ca39a9d051c0e52ce9695fc28b307e719d809ddb6da1eeb261889b9db3bb7@167.86.74.44:30303,c7c684242bee9e80,v4,51167,Contabo GmbH,Germany,Nuremberg,167.86.74.44,a103014cb5e68638e21a584982215d01a869c80644d20696967ebef8d7ccae62e3c5,30303,30303,,,,,
 2755503ce51b324b47ab67e3d0ba35bc0a24281a7bbc1be03046962f115cb977,enode://90263113f4ff16736fce156a89aa49456169c6369de0aea91bed71e1c9ff5bae7a5827edf1b3b01e30b026fc1099b283fef78ba436cd53bafb5d949ed1a001fc@144.91.120.97:30305,c7c684e615830180,v4,51167,Contabo GmbH,Germany,Nuremberg,144.91.120.97,a10290263113f4ff16736fce156a89aa49456169c6369de0aea91bed71e1c9ff5bae,30305,30305,,,,,
 276b2320bdeb7ff33fb5226d0bd26cec0bd31de5c1501369a32ef376f451f258,enode://ed1127428d9f19626efb7f58b2342efa9edec9351efd73b9c18342d148a114a1fbfc8bbffeb1b46d9dddd0009c07da2a1a8556e8e227fd6f22806943702ad250@52.79.207.185:30303,c7c684d3fb60c980,v4,16509,AMAZON-02,South Korea,Incheon,52.79.207.185,a102ed1127428d9f19626efb7f58b2342efa9edec9351efd73b9c18342d148a114a1,30303,30303,,,,,
